,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1120.0,1166.12,1168.41,1167.53,-57.02,476329,41987,7589,1629,13.6%
1,FplSimpson,1113.0,1182.15,1205.81,1191.98,-90.65,548112,19661,49,24,3.8%
2,FplStatsdan,1066.0,1110.49,1157.11,1144.15,-82.65,1176835,309904,22051,13845,5.5%
3,FF_Trout,1162.0,1189.08,1198.49,1193.77,-41.68,172339,13138,167,18,20.8%
4,dilksybab,1148.0,1212.47,1206.3,1182.66,-61.24,250798,3345,46,165,12.1%
5,theFPLkiwi,1017.0,1095.25,1157.98,1142.79,-127.08,2041653,441546,20487,16124,0.6%
6,jameso_12,1063.0,1065.54,1121.46,1096.79,-43.15,1224065,804755,147208,209347,19.9%
7,api_kakayou,1183.0,1132.25,1133.6,1126.0,42.91,91577,162285,86675,52502,81.2%
8,usafpl,1060.0,1086.97,1126.73,1108.07,-58.21,1273001,535638,118206,131069,13.1%
9,CazzaFPL,1150.0,1162.93,1207.57,1179.17,-44.18,241397,47283,30,292,19.3%
10,PlanetosFPL,1100.0,1156.54,1176.03,1158.06,-73.6,697381,63391,3802,4287,7.7%
11,analytic_fpl,1124.0,1153.99,1189.92,1175.36,-59.96,440435,69581,450,657,12.6%
12,rogue_wee,1081.0,1126.47,1141.23,1123.53,-59.26,950009,191249,58453,59228,12.8%
13,mtthwmn,1147.0,1169.14,1179.04,1170.67,-35.79,258294,36624,2554,1278,24%
14,cmusson32,1145.0,1158.14,1160.89,1167.78,-27.13,270990,57306,16768,1621,29.6%
15,FPLstudent2,1143.0,1201.05,1175.08,1190.26,-54.55,285981,6389,4244,41,14.7%
16,peterhandleson,1043.0,1069.38,1111.78,1099.3,-61.7,1564824,754423,213523,191345,12%
17,chrishp,1143.0,1174.11,1159.99,1152.59,-28.0,285981,29330,17840,6901,29%
18,plfantasy,1180.0,1150.34,1129.65,1111.49,41.27,101897,81557,105127,112463,80.5%
19,FPLmeta,1177.0,1162.0,1169.36,1166.83,1.08,109169,48989,6985,1756,50.6%
20,FplAuto,1078.0,1148.53,1153.99,1132.42,-76.32,995778,87532,26325,38012,7%
21,NourEldin_z3r0,1213.0,1188.65,1164.66,1149.22,37.35,30384,13348,10583,9970,77.6%
22,UkendtPerson45,1085.0,1197.36,1187.71,1176.1,-110.94,895375,7984,994,613,1.5%
23,MikkelTokvam,1171.0,1213.46,1183.62,1166.42,-24.67,131638,3156,1580,1823,31.1%
24,Klaudioz,1133.0,1086.11,1062.65,1050.16,58.46,365778,544083,863420,810503,89.2%
25,FantasianPL,1025.0,1119.67,1128.88,1118.21,-107.01,1884607,233481,108603,79312,1.8%
26,rama96ab,1139.0,1182.86,1150.15,1145.36,-28.45,316209,18988,33903,12745,28.6%
27,FPL_LFE,1154.0,1147.96,1116.05,1094.38,26.89,217719,89402,182884,226910,71.2%
28,_jtreble,1192.0,1206.63,1187.52,1165.78,-2.87,67607,4610,1064,1939,47.3%
29,DanielSaetre,1215.0,1184.34,1192.8,1180.78,19.34,27757,17109,288,226,65.7%
30,Sriniva43849177,921.0,982.5,1008.14,1000.34,-86.56,3890923,2353844,1987791,1802659,4.5%
31,FBinary01,1233.0,1138.55,1134.76,1123.74,91.49,12278,130214,82701,58373,97.1%
32,FPL_Data,1110.0,1137.77,1158.1,1156.5,-51.25,583454,133745,20198,4800,15.9%
33,FPL_ElStatto,1115.0,1077.31,1101.19,1089.1,15.41,529967,647003,325599,286097,62.7%
34,FplSigurd,1164.0,1227.85,1192.03,1185.59,-45.64,163570,1041,298,92,18.5%
35,JoeBopara,1069.0,1131.49,1155.32,1132.44,-80.89,1131269,166779,24118,37997,5.9%
36,dLincolnlawyer,1206.0,1213.53,1166.84,1169.46,15.19,40035,3150,8839,1425,62.5%
37,FPL_Statoholic,1184.0,1143.35,1192.65,1190.16,-3.14,87749,109146,292,41,47.1%
38,FplAmateur,1194.0,1155.91,1133.18,1120.9,49.06,61487,64918,89255,68783,84.6%
39,wolacola,1187.0,1210.19,1207.4,1200.5,-28.33,79961,3968,30,8,28.8%
40,Hashtag_MEGA,1182.0,1187.2,1185.15,1181.57,-12.05,93432,14708,1324,202,40.7%
41,dav_fifa,1178.0,1057.14,1062.11,1051.23,111.61,108250,921851,872358,785505,98.8%
42,MaulanaRiandi,1204.0,1214.68,1189.42,1170.12,4.59,42701,2972,509,1372,53.8%
43,Rak464,1140.0,1129.49,1147.76,1133.41,-6.97,310495,177109,39412,35874,44.1%
44,ArneBarsnes,1201.0,1171.33,1149.89,1144.7,37.2,47800,33077,34727,13188,77.6%
45,FPL_PapaSmurf,1185.0,1132.98,1118.54,1106.8,56.9,86305,157887,164378,139828,88.5%
46,gezza96,1207.0,1202.95,1152.98,1146.47,32.36,38544,5819,28613,11971,74.7%
47,Raghy78d,1267.0,1196.51,1199.93,1175.54,67.16,1962,8465,146,657,92.2%
48,pdhFPL,1138.0,1212.53,1193.79,1191.47,-69.94,321736,3311,276,24,8.8%
49,NeilRankinZA,1063.0,1050.53,1029.24,1032.89,16.75,1220976,1029665,1483400,1127150,63.8%
50,EuanThompson,1197.0,1226.12,1220.04,1211.66,-31.39,55760,1138,1,4,26.7%
51,FPLrookie1,1165.0,1182.31,1163.84,1145.31,-7.15,160628,19336,11167,12794,44%
52,FplBudget,1189.0,1112.36,1131.56,1122.13,56.75,74969,295652,96779,63473,88.4%
